0.5098,1,0.63922
0.50132,1,0.6447
0.49283,1,0.65018
0.48434,1,0.65566
0.47585,1,0.66115
0.46736,1,0.66663
0.45887,1,0.67211
0.45038,1,0.67759
0.44189,1,0.68307
0.4334,1,0.68856
0.42492,1,0.69404
0.41643,1,0.69952
0.40794,1,0.705
0.39945,1,0.71049
0.39096,1,0.71597
0.38247,1,0.72145
0.37398,1,0.72693
0.36549,1,0.73242
0.35701,1,0.7379
0.34852,1,0.74338
0.34003,1,0.74886
0.33154,1,0.75434
0.32305,1,0.75983
0.32558,0.98796,0.78527
0.33045,0.97337,0.81494
0.33531,0.95878,0.8446
0.34017,0.94419,0.87427
0.34504,0.9296,0.90394
0.3499,0.91501,0.9336
0.35476,0.90042,0.96327
0.35963,0.88583,0.99294
0.32669,0.86383,0.99629
0.28195,0.83951,0.99143
0.23721,0.81519,0.98657
0.19247,0.79088,0.9817
0.14772,0.76656,0.97684
0.10298,0.74224,0.97198
0.058237,0.71792,0.96711
0.013494,0.69361,0.96225
0.010869,0.66589,0.94516
0.026432,0.63671,0.92279
0.041995,0.60753,0.90042
0.057558,0.57835,0.87805
0.07312,0.54917,0.85567
0.088683,0.51999,0.8333
0.10425,0.49081,0.81093
0.11981,0.46163,0.78856
0.12014,0.43575,0.75528
0.11171,0.41175,0.71572
0.10328,0.38776,0.67617
0.094848,0.36377,0.63661
0.086419,0.33978,0.59706
0.077989,0.31578,0.5575
0.063656,0.28874,0.51776
0.045175,0.25956,0.47788
0.026694,0.23038,0.438
0.0082137,0.2012,0.39812
0.016211,0.13636,0.31122
0.045391,0.042983,0.18672
0.043075,0,0.094766
0.013895,0,0.03057
0,0,0
0,0,0
0,0,0
0,0,0
0.022974,0.01053,0
0.069662,0.031928,0
0.11635,0.053327,0
0.16304,0.074726,0
0.19988,0.0912,0
0.22517,0.1019,0
0.25046,0.1126,0
0.27574,0.1233,0
0.31021,0.13858,0
0.35689,0.15998,0
0.40358,0.18138,0
0.45027,0.20278,0
0.49233,0.22186,0
0.52734,0.23742,0
0.56236,0.25299,0
0.59738,0.26855,0
0.63239,0.28411,0
0.66741,0.29968,0
0.70361,0.31592,0
0.74203,0.33343,0
0.78045,0.35093,0
0.81887,0.36844,0
0.8573,0.38595,0
0.89572,0.40346,0
0.93414,0.42097,0
0.97256,0.43847,0
1,0.46117,0
1,0.49683,0
1,0.5325,0
1,0.56816,0
1,0.60383,0
1,0.63949,0
0.99761,0.66911,0.008266
0.98756,0.67938,0.042983
0.97752,0.68966,0.077701
0.96748,0.69993,0.11242
0.95743,0.7102,0.14714
0.94739,0.72047,0.18185
0.94084,0.72883,0.21135
0.94915,0.72908,0.21866
0.95746,0.72932,0.22598
0.96577,0.72957,0.23329
0.97366,0.73031,0.23935
0.97934,0.73368,0.23878
0.98501,0.73705,0.23821
0.99069,0.74043,0.23764
0.99456,0.74796,0.23452
0.98597,0.78408,0.21382
0.97737,0.82021,0.19311
0.96878,0.85633,0.17241
0.96114,0.89015,0.15293
0.96248,0.90199,0.14511
0.96382,0.91383,0.13728
0.96516,0.92567,0.12946
0.9665,0.93751,0.12164
0.96784,0.94935,0.11381
0.96918,0.96081,0.10616
0.97046,0.96466,0.10188
0.97175,0.96851,0.097606
0.97304,0.97236,0.093329
0.97433,0.9762,0.089053
0.97561,0.98005,0.084776
0.9769,0.9839,0.0805
